sentence,language
ਜ਼ਿਆਦਾਤਰ ਸ਼ਾਰਕ ਹਮਲੇ ਬੀਚ ਤੋਂ ਲਗਭਗ 10 ਫੁੱਟ ਦੀ ਦੂਰੀ 'ਤੇ ਹੁੰਦੇ ਹਨ ਕਿਉਂਕਿ ਲੋਕ ਉੱਥੇ ਹਨ.,Punjabi
Ha invitato a mangiare...,Italian
Am încredere în tot ce este scris cu cerneală violetă.,Romanian
È andata a fare una passeggiata.,Italian
"Скажите ""здравствуйте"".",Russian
نادرة المتوسطة,Arabic
كنت جيدة في تجميع الزي.,Arabic
Chúng tôi không viết gì cho đứa trẻ,Vietnamese
Ты проснулся?,Russian
Come farei senza di te?,Italian
"তাই বিচাৰিছিল মাথোঁ উত্তৰটো, কিন্তু তাই ইয়াক কিমান ঘৃণা কৰিব তাৰ কোনো ধাৰণা নাছিল।",Assamese
Farin pen an te fè l sonje vant Santa Clause.,Haitian Creole
Ha le dita sullo specchio.,Italian
Maria cantaba.,Spanish
"Yes, I went to the mechanic's shop.",English
少々おまちください。,Japanese
Văd adesea ora 11:11 sau 12:34 la ceasuri.,Romanian
Qui a gagné ?,French
Albastrul suna prea rece la acea vreme și totuși părea să funcționeze pentru gin.,Romanian
Les couteaux et les fourchettes sont des couverts.,French
"সে কখনই খুশি হয় না যতক্ষণ না সে অসন্তুষ্ট হওয়ার মতো কিছু খুঁজে পায়; তারপর, তিনি আনন্দিত.",Bengali
Zag je wat er gebeurde?,Dutch
انك تعتقد بأنه يجب أن يطرد؟,Arabic
"তাইৰ মনত পোহৰ পৰিল যে আনে তাইক আৰু সুখী কৰিব পাৰে, কিন্তু তাইহে নিজকে সুখী কৰিব পাৰিব।",Assamese
J'ai fait une réservation,French
Li te konkli ke kochon yo dwe kapab vole nan Hog ​​Heaven.,Haitian Creole
Это апельси́ны в вáшем блю́де.,Russian
"Die zerfetzten Arbeitshandschuhe sprechen von den vielen Stunden harter Arbeit, die er sein Leben lang ertragen musste.",German
Comment t'appelles-tu ?,French
Gen yon rezon ki fè roz gen pikan.,Haitian Creole
গোলাপী ৰঙৰ ঘোঁৰাবোৰে সাগৰৰ সিপাৰে লৰচৰ কৰিলে।,Assamese
চার্লস ফ্রেঞ্চ ফ্রাই খেয়েছিলেন জেনেছিলেন যে এটি তার শেষ খাবার হবে।,Bengali
Die Pflanzen sind schnell gewachsen,German
ইরিন ঘটনাক্রমে একটি নতুন মহাবিশ্ব তৈরি করেছিলেন।,Bengali
Diamantes não são baratos.,Portugese
ৰুক্ষ বুঢ়াজনে লোভনীয় দোকানৰ পিছফালে বহি আছিল আৰু এমুঠি কৃমি উলিয়াই আনি নিজৰ মাজতে গুণগুণাই আছিল।,Assamese
我们打算明天搬家,Mandarin
愛梨がどこに住んでいるか知っていますか。,Japanese
Свежие красные цветы стоит в наших вазах.,Russian
Li dwe senk è yon kote.,Haitian Creole
Die Tür schwang auf und enthüllte rosa Giraffen und rote Elefanten.,German
Tout bagay t ap mache byen jiskaske yon jiraf koulè wouj violèt te rankontre m.,Haitian Creole
Je veux envoyer ce paquet aux Etats-Unis,French
Tại sao họ buồn?,Vietnamese
Je suis débutant,French
くつをぬがなくてもいいです。,Japanese
Kan je me een koffie geven?,Dutch
Вру.,Russian
Suas crianças estão na escola.,Portugese
Мне жаль.,Russian
حصلت على نقطة,Arabic
C'est six heures du matin,French
Я жирный.,Russian
De zalf hielp niet tegen de jeuk.,Dutch
試験がやさしいといいんですが。,Japanese
Pun o carte pe masă,Romanian
ਪੈਟ ਨੇ ਇੱਕ ਭੂਤ ਮਿਰਚ ਪਾਈ ਦਾ ਆਦੇਸ਼ ਦਿੱਤਾ।,Punjabi
Hebt u uw fiets bij u?,Dutch
Questo ridurrà il suo valore.,Italian
¡Estamos en el aeropuerto y nuestro vuelvo sale en dos minutos! Mi familia y yo tenemos prisa.,Spanish
Il cappello gli sta perfettamente.,Italian
Это мой.,Russian
"Kwis-wo nan dlo a, espwa pechè a pou dine byento tounen dezespwa.",Haitian Creole
それか、ピンクのプレートに白い文字で書くこともできます。,Japanese
الشطرنج يسبب لي مللا شديدا!,Arabic
Quanto custam as estes naranjas?,Portugese
Era genul de fată care ardea întotdeauna zahăr pentru a arăta că îi pasă.,Romanian
Greierii acoperiți cu ciocolată erau gustarea lui preferată.,Romanian
ਉਹ ਸਿਰਫ ਬੋਲਡ ਰੰਗਾਂ ਨਾਲ ਪੇਂਟ ਕਰਦੀ ਹੈ; ਉਸਨੂੰ ਪੇਸਟਲ ਪਸੰਦ ਨਹੀਂ ਹੈ।,Punjabi
私はいつも音楽を聞きながら日本語を勉強します。,Japanese
Devi fare i compiti.,Italian
أرباح الإجمالي,Arabic
Un aller simple,French
لا فائدة من الكلام معاك,Arabic
Вот три ключи -- это подъéзд и два шкáфы в вáшей кóмнате.,Russian
هذا يعني أنك تفوز.,Arabic
Guarda bene cosa faccio.,Italian
Me ne sono ricordato.,Italian
Édesanyám olasz származású,Hungarian
Venite a vedere per voi!,Italian
"Je houdt ook van hiphop, he? Ik heb hier een niuwe cd met hiphopnummers. Je zal de cd wel leuk vinden.",Dutch
"When I was a girl, I used to play on a soccer team and annoy my younger siblings.",English
Niemand liebt ein Schwein mit Lippenstift.,German
ਉਹ ਇੱਕ ਲੜਕੇ ਦੇ ਬੈਂਡ ਵਿੱਚ ਹੈ ਜੋ ਸੱਪ ਲਈ ਬਹੁਤਾ ਅਰਥ ਨਹੀਂ ਰੱਖਦਾ।,Punjabi
"25 বছর পরে, তিনি এখনও সেই নির্দিষ্ট মুহূর্তটির জন্য অনুশোচনা করেছিলেন।",Bengali
"Mütter verbringen Monate ihres Lebens damit, auf ihre Kinder zu warten.",German
Comment est-ce que je me rends à la rue Daniel ?,French
বোলিং বল বৃষ্টি শুরু না হওয়া পর্যন্ত আমি কখনই জানতাম না কষ্ট কেমন লাগছিল।,Bengali
Combien coûte ceci ?,French
Цельтесь выше.,Russian
لا أستطيع تحمل ألعاب الكمبيوتر.,Arabic
Я отважный.,Russian
বিষ আইভি বেড়ার মধ্য দিয়ে বেড়েছে তারা বলেছিল দুর্ভেদ্য।,Bengali
ਬੀਚ ਬਰਫੀਲੇ ਚੀਤੇ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਸੀ।,Punjabi
Выберите один.,Russian
Il y a un restaurant près d'ici,French
La capital de Perú es Lima.,Spanish
Con chó khuyên tôi nên yêu nó hơn con mèo.,Vietnamese
Merci Mademoiselle,French
"Пожалуйста, езжайте.",Russian
أنا أكتب استجابة للإعلان الخاص بكم على شبكة الانترنت لطلب مدير مكتب.,Arabic
Ce vrei să spui,Romanian
"আমি ভূগোলের সাথে লড়াই করতে পারি, কিন্তু আমি নিশ্চিত যে আমি এখানে কোথাও আছি।",Bengali
Hoe lang hebt u dat al?,Dutch
ਸੂਰਜ ਦੀ ਭੈੜੀ ਨਿਗਾਹ ਤੋਂ ਪਨਾਹ ਲੈਣਾ ਹਮੇਸ਼ਾ ਇੱਕ ਚੰਗਾ ਵਿਚਾਰ ਹੈ।,Punjabi
Естественно.,Russian
Я буду работать.,Russian
Il va neiger aujourd'hui,French
أنا لا أحب هذا الإعلان. أنه يحتوي على جلجلة مزعجة.,Arabic
雨下了的真大。,Mandarin
Părea să fie confuz de perplex.,Romanian
Ik heb minder spierpijn,Dutch
Дайте мне войти.,Russian
তার ছেলে বলেছিল যে পাওয়ার বারগুলি প্রাপ্তবয়স্ক ক্যান্ডি বারগুলির চেয়ে বেশি কিছু নয়।,Bengali
وكان معنويات الموظفين منخفضة حقا,Arabic
Naturalmente ora non posso usare le dita.,Italian
もんくを言うのをやめなさい。,Japanese
Smoky Bear a pornit incendiile în secret.,Romanian
Questa macchina è fuori servizio.,Italian
Est-ce que tu sais où sont mes lunettes ?,French
あなたの猿をほっておくのをやめなさい。,Japanese
Ha vinto ben sei volte negli ultimi anni.,Italian
تدفعني ألعاب الفيديو إلى الجنون!,Arabic
"Ik hoorde iets vreemds. O sorry, ik was aan het zingen.",Dutch
Ce ești?,Romanian
Ci devo andare.,Italian
내일은 아침부터 눈이 올 거예요.,Korean
では、くすりを３しゅるいだします。,Japanese
Carol bwè san an kòmsi li te yon vanpir.,Haitian Creole
لكن هذا قد يكون يؤدي إلى صراع كبير,Arabic
"ਜਿਵੇਂ ਹੀ ਗ੍ਰਹਿ ਧਰਤੀ ਵੱਲ ਵਧਿਆ, ਬੇਕੀ ਪਰੇਸ਼ਾਨ ਸੀ ਕਿ ਉਸਦੀ ਦੰਦਾਂ ਦੇ ਡਾਕਟਰ ਦੀ ਨਿਯੁਕਤੀ ਰੱਦ ਕਰ ਦਿੱਤੀ ਗਈ ਸੀ।",Punjabi
かしこまりました。こちらはどうでしょうか。,Japanese
Ich bin ein lebender Ofen.,German
পাখিটির বিশ্বাস ছিল যে এটি সত্যিই একটি গ্রাউন্ডহোগ।,Bengali
私は妹にお金を貸してあげました。,Japanese
私は病気の友だちに元気になってほしいです。,Japanese
Te lo dirò più tardi.,Italian
Ha piovuto di più lunedì che martedì.,Italian
বিবাহের সেরা অংশ চিনাবাদাম মাখন সঙ্গে পশু পটকা হয়.,Bengali
Csardas gyönyör?.,Hungarian
هناك بعض المواضيع,Arabic
Où est-ce qu'il y a un distributeur de billets ?,French
Elena are doi pâini,Romanian
Qui c'était ?,French
তাৰ ছাগলীৰ নোমটো দেখি মোৰ বায়েকৰ বিচনাৰ তলত দৌৰি লুকাই থাকিবলৈ মন গ’ল।,Assamese
কিছু স্নানের স্যুট কিছু লোকের দ্বারা পরিধান করা উচিত নয়।,Bengali
Există un motiv pentru care trandafirii au spini.,Romanian
この雨は、あしたのそうちょうまでのこりますが、,Japanese
অন্য দিকে মুগ্ধতা অপেক্ষা করছে জেনে সে ব্রিজের ওপরে পা রাখল।,Bengali
Combien mesures-tu ?,French
Premi un tasto qualsiasi per continuare.,Italian
J'ai encore à me brosser les dents et à prendre une douche,French
Я иногда читаю о нём в газете.,Russian
I will have finished the work when my friends arrive.,English
어디에서 왔어요? (or 어디에서 왔습니까?),Korean
Est-ce que c'est Monsieur Smith ?,French
Ho sete.,Italian
"তাইক তুলি ল’বলৈ চেষ্টা কৰা ল’ৰা এটা যেতিয়া তাই ভাল নাপালে, তাই সাংকেতিক ভাষা ব্যৱহাৰ কৰিবলৈ ধৰিলে।",Assamese
"Er war nicht verbittert, dass sie weitergezogen war, sondern wegen dem Rettich.",German
じゃ、ごごオフィスにきてください。,Japanese
They always complained.,English
ik snap het,Dutch
你叫什么名字？,Mandarin
It is important to remember the true meaning of Easter.,English
Allons voir,French
إحدى المزايا هي أنه يمكننا العثور على مكان أرخص.,Arabic
সে তার আশা এবং স্বপ্ন নিয়ে বেলুনটিকে বাতাসে ভাসতে দিয়েছে।,Bengali
Quelle taille ?,French
Ho fretta devo andare a scuola!,Italian
Поставьте свою подпись здесь.,Russian
জো আবিষ্কার করেছেন যে ট্র্যাফিক শঙ্কু চমৎকার মেগাফোন তৈরি করে।,Bengali
হেণ্ড চেনিটাইজাৰটো আচলতে আছিল স্পষ্ট আঠা।,Assamese
منذ متى تم هذا يحدث؟,Arabic
Elle est jolie,French
Это телевидение.,Russian
Je hoeft het op te eten,Dutch
ৰুটিৰ পিঠাগুৰিটোৱে তাইক চান্টাক্লজৰ পেটৰ কথা মনত পেলাই দিলে।,Assamese
Plus que ça,French
C'est moins de cinq dollars,French
¿Qué piensas de la clase de español?,Spanish
そうですね。しつもんはありますか。,Japanese
Tôi muốn trở thành một cái máy tính.,Vietnamese
ਮੈਂ ਪਾਗਲ ਹੋ ਗਿਆ ਕਿ ਜੈਲੀਫਿਸ਼ ਦਾ ਸਕੂਲ ਮੇਰੀ ਜਾਸੂਸੀ ਕਰ ਰਿਹਾ ਸੀ।,Punjabi
Non,French
καλον δωρον τη(ι) παιδι δωμεν τη(ι) τον κυνα ευρουση(ι).,Greek
Anh ấy thấy chiếc xe đạp màu hồng của mình.,Vietnamese
Не подглядывай.,Russian
ドアのよこのほんだなのうえにはおけませんよ。,Japanese
Il y a un livre sous la table,French
De onde que você vem?,Portugese
영어 할 수 있습니까?,Korean
أنا أعمل بجد.,Arabic
아랐어,Korean
Non vado mai da nessuna parte.,Italian
"Je vais très bien, merci",French
"Quindi ragazzi, per strada, sempre testa sulle spalle e occhi ben aperti, apertissimi!",Italian
Se usa para communica los palabras muy rápido en un celular.,Spanish
Aonde está a câmera?,Portugese
"Äpfel und Orangen kann man nicht vergleichen, aber was ist mit Bananen und Kochbananen?",German
"Als het alleen om te drinken is, zullen we beginnen vanaf 19.00 uur? Welke tijd heb je liever?",Dutch
Ik dronk koffie met melk.,Dutch
Il che significa...,Italian
ਉੱਡਦੀ ਮੱਛੀ ਨੇ ਪੁਲਾੜ ਸਟੇਸ਼ਨ ਤੋਂ ਉਡਾਣ ਭਰੀ।,Punjabi
Speriamo di incontrarlo di nuovo.,Italian
Naast mijn werk sport ik veel.,Dutch
Je suis repu,French
고향이 어디예요?,Korean
ওভারপাস মহাসড়কের নীচে এবং একটি গোপন জগতে চলে গেল।,Bengali
Scrisul cursiv este cel mai bun mod de a construi o pistă de curse.,Romanian
"Au fost zile în care mi-am dorit să fiu separat de corpul meu, dar astăzi nu a fost una dintre acele zile.",Romanian
জেসন বুঝতে পারেনি কেন তার বাবা-মা তাকে তার ছোট বোনকে গ্যারেজে বিক্রি করতে দেয় না।,Bengali
"Hij keek niet goed naar rechts, daarom faalde hij.",Dutch
"Yo di ke chen se pi bon zanmi lòm, men chat sa a te kòmanse sabote teyori sa a.",Haitian Creole
Faptul că nu avea păr îl făcea să pară și mai păros.,Romanian
Стой здесь.,Russian
Lui aveva potuto fare di meglio.,Italian
Combien ?,French
Gyönyör? a cigányzene.,Hungarian
